"","Description","Chromosome.Name","Gene.Start..bp.","Gene.End..bp.","Associated.Gene.Name","Gene.Biotype","symbol","id"
"ENSG00000225880","long intergenic non-protein coding RNA 115 [Source:HGNC Symbol;Acc:26211]","1",761586,762902,"LINC00115","lincRNA","LINC00115","ENSG00000225880"
"ENSG00000188976","nucleolar complex associated 2 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:24517]","1",879584,894689,"NOC2L","protein_coding","NOC2L","ENSG00000188976"
"ENSG00000188290","hes family bHLH transcription factor 4 [Source:HGNC Symbol;Acc:24149]","1",934342,935552,"HES4","protein_coding","HES4","ENSG00000188290"
"ENSG00000187608","ISG15 ubiquitin-like modifier [Source:HGNC Symbol;Acc:4053]","1",948803,949920,"ISG15","protein_coding","ISG15","ENSG00000187608"
"ENSG00000186891","tumor necrosis factor receptor superfamily, member 18 [Source:HGNC Symbol;Acc:11914]","1",1138888,1142071,"TNFRSF18","protein_coding","TNFRSF18","ENSG00000186891"
"ENSG00000186827","tumor necrosis factor receptor superfamily, member 4 [Source:HGNC Symbol;Acc:11918]","1",1146706,1149518,"TNFRSF4","protein_coding","TNFRSF4","ENSG00000186827"
"ENSG00000078808","stromal cell derived factor 4 [Source:HGNC Symbol;Acc:24188]","1",1152288,1167411,"SDF4","protein_coding","SDF4","ENSG00000078808"
"ENSG00000160087","ubiquitin-conjugating enzyme E2, J2 [Source:HGNC Symbol;Acc:19268]","1",1189289,1209265,"UBE2J2","protein_coding","UBE2J2","ENSG00000160087"
"ENSG00000131584","ArfGAP with coiled-coil, ankyrin repeat and PH domains 3 [Source:HGNC Symbol;Acc:16754]","1",1227756,1244989,"ACAP3","protein_coding","ACAP3","ENSG00000131584"
"ENSG00000169972","pseudouridylate synthase-like 1 [Source:HGNC Symbol;Acc:26914]","1",1243947,1247057,"PUSL1","protein_coding","PUSL1","ENSG00000169972"
"ENSG00000127054","cleavage and polyadenylation specific factor 3-like [Source:HGNC Symbol;Acc:26052]","1",1246965,1260071,"CPSF3L","protein_coding","CPSF3L","ENSG00000127054"
"ENSG00000224051","glycolipid transfer protein domain containing 1 [Source:HGNC Symbol;Acc:28116]","1",1260136,1264277,"GLTPD1","protein_coding","GLTPD1","ENSG00000224051"
"ENSG00000175756","aurora kinase A interacting protein 1 [Source:HGNC Symbol;Acc:24114]","1",1309110,1310875,"AURKAIP1","protein_coding","AURKAIP1","ENSG00000175756"
"ENSG00000221978","cyclin L2 [Source:HGNC Symbol;Acc:20570]","1",1321091,1334708,"CCNL2","protein_coding","CCNL2","ENSG00000221978"
"ENSG00000224870","HCG20425, isoform CRA_a; Uncharacterized protein; cDNA FLJ53815  [Source:UniProtKB/TrEMBL;Acc:B4DNA4]","1",1334902,1337426,"RP4-758J18.2","protein_coding","RP4-758J18.2","ENSG00000224870"
"ENSG00000242485","mitochondrial ribosomal protein L20 [Source:HGNC Symbol;Acc:14478]","1",1337288,1342693,"MRPL20","protein_coding","MRPL20","ENSG00000242485"
"ENSG00000160072","ATPase family, AAA domain containing 3B [Source:HGNC Symbol;Acc:24007]","1",1407143,1433228,"ATAD3B","protein_coding","ATAD3B","ENSG00000160072"
"ENSG00000197785","ATPase family, AAA domain containing 3A [Source:HGNC Symbol;Acc:25567]","1",1447531,1470067,"ATAD3A","protein_coding","ATAD3A","ENSG00000197785"
"ENSG00000160075","SSU72 RNA polymerase II CTD phosphatase homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:25016]","1",1477053,1510249,"SSU72","protein_coding","SSU72","ENSG00000160075"
"ENSG00000197530","mindbomb E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:30577]","1",1550795,1565990,"MIB2","protein_coding","MIB2","ENSG00000197530"
